ts,alarm,is_on,health_smooth,health_band,xgb_pre_alarm_prob,combined_alert,if_raw_score
2021-04-15 07:50:00+00:00,0,0,63.65,degrading,,0,-0.11450156502982878
2021-04-15 07:55:00+00:00,0,0,63.65,degrading,,0,-0.11450156502982878
2021-04-15 08:00:00+00:00,0,0,63.65,degrading,,0,-0.11450156502982878
2021-04-15 08:05:00+00:00,0,0,63.65,degrading,,0,-0.11450156502982878
2021-04-15 08:10:00+00:00,0,0,63.65,degrading,,0,-0.11447470107348201
2021-04-15 08:15:00+00:00,0,0,63.65,degrading,,0,-0.11434518666219085
2021-04-15 08:20:00+00:00,0,0,63.67,degrading,,0,-0.11390163540759002
2021-04-15 08:25:00+00:00,0,1,64.49,degrading,,0,-0.07283206914252516
2021-04-15 08:30:00+00:00,0,0,65.25,degrading,,0,-0.07277878436543361
2021-04-15 08:35:00+00:00,0,0,65.36,degrading,,0,-0.10375335200660196
2021-04-15 08:40:00+00:00,0,0,65.47,degrading,,0,-0.1033909915827822
2021-04-15 08:45:00+00:00,0,0,65.57,degrading,,0,-0.10362625529535596
2021-04-15 08:50:00+00:00,0,0,65.64,degrading,,0,-0.10442272659613394
2021-04-15 08:55:00+00:00,0,0,65.73,degrading,,0,-0.10323699883814419
2021-04-15 09:00:00+00:00,0,0,65.82,degrading,,0,-0.10353259535775006
2021-04-15 09:05:00+00:00,0,0,65.89,degrading,,0,-0.10365967094360318
2021-04-15 09:10:00+00:00,0,0,65.92,degrading,,0,-0.10573186208541441
2021-04-15 09:15:00+00:00,0,0,65.95,degrading,,0,-0.10560431921353353
2021-04-15 09:20:00+00:00,0,0,65.97,degrading,,0,-0.1058594337251264
2021-04-15 09:25:00+00:00,0,0,65.99,degrading,,0,-0.10598703413915811
2021-04-15 09:30:00+00:00,0,0,66.0,degrading,,0,-0.1062453426340848
2021-04-15 09:35:00+00:00,0,0,66.01,degrading,,0,-0.10637303009149379
2021-04-15 09:40:00+00:00,0,0,66.02,degrading,,0,-0.10637303009149379
2021-04-15 09:45:00+00:00,0,0,66.04,degrading,,0,-0.10566367002667809
2021-04-15 09:50:00+00:00,0,0,66.05,degrading,,0,-0.10627531840764104
2021-04-15 09:55:00+00:00,0,0,66.03,degrading,,0,-0.10757189677538381
2021-04-15 10:00:00+00:00,0,0,66.01,degrading,,0,-0.10782789897786293
2021-04-15 10:05:00+00:00,0,0,65.99,degrading,,0,-0.10748147361791371
2021-04-15 10:10:00+00:00,0,0,65.98,degrading,,0,-0.10732686276539549
2021-04-15 10:15:00+00:00,0,0,65.97,degrading,,0,-0.10760929601068092
2021-04-15 10:20:00+00:00,0,0,65.96,degrading,0.13457641005516052,0,-0.10735339238848485
2021-04-15 10:25:00+00:00,0,0,65.95,degrading,0.10501141101121902,0,-0.10737539666992546
2021-04-15 10:30:00+00:00,0,0,65.95,degrading,0.08939044177532196,0,-0.10711959852600128
2021-04-15 10:35:00+00:00,0,0,65.95,degrading,0.08939044177532196,0,-0.10660834824712806
2021-04-15 10:40:00+00:00,0,0,65.95,degrading,0.08465825766324997,0,-0.1070820878188482
2021-04-15 10:45:00+00:00,0,0,65.95,degrading,0.08465825766324997,0,-0.1070820878188482
2021-04-15 10:50:00+00:00,0,0,65.95,degrading,0.08465825766324997,0,-0.1070820878188482
2021-04-15 10:55:00+00:00,0,0,65.94,degrading,0.08179964125156403,0,-0.10733786903946863
2021-04-15 11:00:00+00:00,0,0,65.96,degrading,0.08179964125156403,0,-0.10581216016778627
2021-04-15 11:05:00+00:00,0,1,66.71,degrading,0.08279062062501907,0,-0.06897291529778948
2021-04-15 11:10:00+00:00,0,0,67.42,degrading,0.07980972528457642,0,-0.0686124146632171
2021-04-15 11:15:00+00:00,0,0,67.5,degrading,0.07898125797510147,0,-0.09805086180376776
2021-04-15 11:20:00+00:00,0,0,67.57,degrading,0.07898125797510147,0,-0.09805086180376776
2021-04-15 11:20:14+00:00,0,0,67.64,degrading,0.07898125797510147,0,-0.09817670096156594
2021-04-15 11:25:00+00:00,0,0,67.71,degrading,0.07898125797510147,0,-0.09817670096156594
2021-04-15 11:30:00+00:00,0,0,67.73,degrading,0.07898125797510147,0,-0.09997615465433585
2021-04-15 11:35:00+00:00,0,0,67.76,degrading,0.07898125797510147,0,-0.09959451939374842
2021-04-15 11:40:00+00:00,0,0,67.79,degrading,0.07898125797510147,0,-0.09946836051315544
2021-04-15 11:45:00+00:00,0,0,67.82,degrading,0.07898125797510147,0,-0.09951912546527208
2021-04-15 11:50:00+00:00,0,0,67.84,degrading,0.07898125797510147,0,-0.09951912546527208
2021-04-15 11:55:00+00:00,0,0,67.87,degrading,0.07898125797510147,0,-0.09951912546527208
2021-04-15 12:00:00+00:00,0,0,67.89,degrading,0.07898125797510147,0,-0.09951912546527208
2021-04-15 12:05:00+00:00,0,0,67.93,degrading,0.07898125797510147,0,-0.09853442237391186
2021-04-15 12:10:00+00:00,0,0,67.97,degrading,0.07898125797510147,0,-0.09853442237391186
2021-04-15 12:15:00+00:00,0,0,68.01,degrading,0.07898125797510147,0,-0.0982826111189089
2021-04-15 12:20:00+00:00,0,0,68.05,degrading,0.07898125797510147,0,-0.0980939218126814
2021-04-15 12:25:00+00:00,0,0,68.09,degrading,0.07898125797510147,0,-0.09834564793875178
2021-04-15 12:30:00+00:00,0,0,68.12,degrading,0.07898125797510147,0,-0.0980939218126814
2021-04-15 12:35:00+00:00,0,0,68.15,degrading,0.07898125797510147,0,-0.09863251377869997
2021-04-15 12:40:00+00:00,0,0,68.2,degrading,0.07898125797510147,0,-0.09733235015595898
2021-04-15 12:45:00+00:00,0,0,68.24,degrading,0.07898125797510147,0,-0.09733235015595898
2021-04-15 12:50:00+00:00,0,0,68.28,degrading,0.07898125797510147,0,-0.09733235015595898
2021-04-15 12:55:00+00:00,0,0,68.32,degrading,0.07898125797510147,0,-0.09733235015595898
2021-04-15 13:00:00+00:00,0,0,68.36,degrading,0.07898125797510147,0,-0.09708108098243351
2021-04-15 13:05:00+00:00,0,0,68.4,degrading,0.07898125797510147,0,-0.09698972086332103
2021-04-15 13:10:00+00:00,0,0,68.44,degrading,0.07893900573253632,0,-0.09698972086332103
2021-04-15 13:15:00+00:00,0,0,68.48,degrading,0.0754602923989296,0,-0.09698972086332103
2021-04-15 13:20:00+00:00,0,0,68.39,degrading,0.07816369086503983,0,-0.10307696992746551
2021-04-15 13:25:00+00:00,0,0,68.32,degrading,0.07448763400316238,0,-0.102715044365708
2021-04-15 13:30:00+00:00,0,0,68.25,degrading,0.07448763400316238,0,-0.102715044365708
